"a3","name","value","value_legend"
"SYR","Syria",0.640327492358526,0.640327492358526
"TJK","Tajikistan",0.579541553709585,0.579541553709585
"TUR","Turkey",0.779077903817681,0.779077903817681
"TKM","Turkmenistan",0.61593074966149,0.61593074966149
"ARM","Armenia",0.73735862976237,0.73735862976237
"AZE","Azerbaijan",0.68555033386301,0.68555033386301
"KGZ","Kyrgyzstan",0.806193109277054,0.806193109277054
"UZB","Uzbekistan",0.379517312127354,0.379517312127354
"GEO","Georgia",0.821326008186638,0.821326008186638
"KAZ","Kazakhstan",0.557596004965415,0.557596004965415
"UKR","Ukraine",0.745868110199611,0.745868110199611
"MNG","Mongolia",0.52451907923409,0.52451907923409
"PRT","Portugal",0.819243045066902,0.819243045066902
"CAN","Canada",0.668585477486028,0.668585477486028
"DEU","Germany",0.831859986144643,0.831859986144643
"IRL","Ireland",0.884000069623814,0.884000069623814
"DNK","Denmark",0.760945433839205,0.760945433839205
"RUS","Russia",0.806358385790739,0.806358385790739
"LVA","Latvia",0.840680779137358,0.840680779137358
"SWE","Sweden",0.733573704449571,0.733573704449571
"FIN","Finland",0.666689897425387,0.666689897425387
