"a3","name","value","value_legend"
"SYR","Syria",0.32468883108845,0.32468883108845
"TJK","Tajikistan",0.551081897924182,0.551081897924182
"TUR","Turkey",0.352036262871171,0.352036262871171
"TKM","Turkmenistan",0.227187698864558,0.227187698864558
"ARM","Armenia",0.446083688010699,0.446083688010699
"AZE","Azerbaijan",0.556604051789328,0.556604051789328
"KGZ","Kyrgyzstan",0.894600095729627,0.894600095729627
"UZB","Uzbekistan",0.646573055736803,0.646573055736803
"GEO","Georgia",0.503041169709668,0.503041169709668
"KAZ","Kazakhstan",0.631450575645658,0.631450575645658
"UKR","Ukraine",0.732078188540825,0.732078188540825
"MNG","Mongolia",0.71819886211416,0.71819886211416
"PRT","Portugal",0.393314381356744,0.393314381356744
"CAN","Canada",0.736164187641437,0.736164187641437
"DEU","Germany",0.726271863394214,0.726271863394214
"IRL","Ireland",0.748679683367909,0.748679683367909
"DNK","Denmark",0.855349231629459,0.855349231629459
"RUS","Russia",0.570282059315661,0.570282059315661
"LVA","Latvia",0.637705919509929,0.637705919509929
"SWE","Sweden",0.517231380709483,0.517231380709483
"FIN","Finland",0.5915147818482,0.5915147818482
