"a3","name","value","value_legend"
"LBN","Lebanon",0.183507966770125,0.183507966770125
"AFG","Afghanistan",0.0703288456136122,0.0703288456136122
"SYR","Syria",0.21380204301546,0.21380204301546
"TJK","Tajikistan",0.213433201553237,0.213433201553237
"TUR","Turkey",0.362047805295047,0.362047805295047
"TKM","Turkmenistan",0.284739018678163,0.284739018678163
"ARM","Armenia",0.405907928520263,0.405907928520263
"AZE","Azerbaijan",0.361156125109482,0.361156125109482
"KGZ","Kyrgyzstan",0.476492030077688,0.476492030077688
"UZB","Uzbekistan",0.0920703500423405,0.0920703500423405
"GEO","Georgia",0.675036603787877,0.675036603787877
"KAZ","Kazakhstan",0.247628987148504,0.247628987148504
"UKR","Ukraine",0.577239067263779,0.577239067263779
"MNG","Mongolia",0.270763246703831,0.270763246703831
"PRT","Portugal",0.691117911751534,0.691117911751534
"CAN","Canada",0.605681757562851,0.605681757562851
"DEU","Germany",0.829375843963153,0.829375843963153
"IRL","Ireland",0.798655057441087,0.798655057441087
"DNK","Denmark",0.853133036453446,0.853133036453446
"RUS","Russia",0.671148238840641,0.671148238840641
"LVA","Latvia",0.803237420655207,0.803237420655207
"SWE","Sweden",0.919675696733332,0.919675696733332
"FIN","Finland",0.959054318616647,0.959054318616647
