"a3","name","value","value_legend"
"TJK","Tajikistan",37.1856180008721,37.1856180008721
"TUR","Turkey",87.2799086332152,87.2799086332152
"TKM","Turkmenistan",58.2806241880516,58.2806241880516
"ARM","Armenia",44.7393022678401,44.7393022678401
"AZE","Azerbaijan",43.2503607066704,43.2503607066704
"KGZ","Kyrgyzstan",41.3228050080219,41.3228050080219
"UZB","Uzbekistan",36.6974277557771,36.6974277557771
"GEO","Georgia",69.4121232428054,69.4121232428054
"KAZ","Kazakhstan",45.2531772201583,45.2531772201583
"UKR","Ukraine",59.3545517187004,59.3545517187004
"MNG","Mongolia",39.7567668952897,39.7567668952897
"PRT","Portugal",60.3076758494812,60.3076758494812
"CAN","Canada",59.4348208700592,59.4348208700592
"DEU","Germany",68.789654337117,68.789654337117
"IRL","Ireland",65.0317171501566,65.0317171501566
"DNK","Denmark",94.3597068629422,94.3597068629422
"RUS","Russia",82.7685484120264,82.7685484120264
"LVA","Latvia",101.901020804435,101.901020804435
"SWE","Sweden",88.4521840455444,88.4521840455444
"FIN","Finland",114.919409076294,114.919409076294
