"a3","name","block_density","block_density_legend","transport_street_types","transport_street_types_legend","transport_rail_types","transport_rail_types_legend","transport_freight_types","transport_freight_types_legend","non_highways","non_highways_legend","car_free_areas","car_free_areas_legend","streets","streets_legend","parking_blocks","parking_blocks_legend"
"IDN","Indonesia",55.1355216392583,55.1355216392583,0.000751086875459972,0.000751086875459972,0.0209743747883939,0.0209743747883939,0.018859108691616,0.018859108691616,0.718743784619214,0.718743784619214,0.12520417647871,0.12520417647871,0.403300296936396,0.403300296936396,0.00197456018906501,0.00197456018906501
"SGP","Singapore",49.2812066699895,49.2812066699895,0.279033323653848,0.279033323653848,0.476965146590157,0.476965146590157,0.264056939091396,0.264056939091396,0.173033513722502,0.173033513722502,0.911727918636295,0.911727918636295,0.773988503976796,0.773988503976796,0.453674463653473,0.453674463653473
"MYS","Malaysia",83.6120390490091,83.6120390490091,0.00102971096566689,0.00102971096566689,0.00956870715639731,0.00956870715639731,0.000505064201013092,0.000505064201013092,0.334519297713342,0.334519297713342,0.28674266407658,0.28674266407658,0.349404219938076,0.349404219938076,0.0146969576404501,0.0146969576404501
"ZAF","South Africa",45.4325829076034,45.4325829076034,0,0,0,0,NA,NA,0.790507369125327,0.790507369125327,0.269168633031403,0.269168633031403,0.218056058544795,0.218056058544795,0.00714428165407367,0.00714428165407367
"ZWE","Zimbabwe",25.9105225255042,25.9105225255042,0,0,0,0,NA,NA,0.957165387342488,0.957165387342488,0.135660041507217,0.135660041507217,0.220358245287091,0.220358245287091,0.00962376954415359,0.00962376954415359
"ZMB","Zambia",34.8688554393594,34.8688554393594,0,0,0,0,NA,NA,0.855706904381278,0.855706904381278,0.104868878231263,0.104868878231263,0.284145001656102,0.284145001656102,0,0
"AGO","Angola",58.4054971016147,58.4054971016147,0,0,0,0,0,0,0.763847821967698,0.763847821967698,0.0580156716119014,0.0580156716119014,0.160552902596316,0.160552902596316,0,0
"COD","Congo - Kinshasa",65.9062971856903,65.9062971856903,0,0,0,0,0,0,0.950202680476883,0.950202680476883,0.0960856867374063,0.0960856867374063,0.530132245651696,0.530132245651696,0,0
"BDI","Burundi",45.9401824869143,45.9401824869143,0,0,0,0,NA,NA,0.994652951821041,0.994652951821041,0.153695280839354,0.153695280839354,0.559519124143629,0.559519124143629,0,0
"RWA","Rwanda",26.6107708018401,26.6107708018401,0,0,0,0,0.0104824517713323,0.0104824517713323,0.875129987859586,0.875129987859586,0.271936678763514,0.271936678763514,0.247634937741885,0.247634937741885,0.00086899866640176,0.00086899866640176
"MDG","Madagascar",19.0422792748348,19.0422792748348,0,0,0,0,NA,NA,0.904559559917987,0.904559559917987,0.385758174887621,0.385758174887621,0.45988577848833,0.45988577848833,0.00130906999635768,0.00130906999635768
"MOZ","Mozambique",56.6134771934875,56.6134771934875,0,0,0,0,NA,NA,0.842314365089318,0.842314365089318,0.0681728391749388,0.0681728391749388,0.169268080380315,0.169268080380315,0,0
"MUS","Mauritius",42.1670496864105,42.1670496864105,0,0,0.0856517941586532,0.0856517941586532,NA,NA,0.842108822595493,0.842108822595493,0.0664990905064645,0.0664990905064645,0.597743844492231,0.597743844492231,0,0
"MWI","Malawi",30.1073610657718,30.1073610657718,0,0,0,0,NA,NA,0.968261965612887,0.968261965612887,0.301727117895985,0.301727117895985,0.0920963158002254,0.0920963158002254,0,0
"TZA","Tanzania",48.8074774534647,48.8074774534647,0,0,0,0,NA,NA,0.802191151494243,0.802191151494243,0.453964095709683,0.453964095709683,0.565747090850756,0.565747090850756,0.0691890310437792,0.0691890310437792
"KEN","Kenya",34.6389962952835,34.6389962952835,0.000163750410070092,0.000163750410070092,0,0,0.0124959916433728,0.0124959916433728,0.648583086073813,0.648583086073813,0.188162004240297,0.188162004240297,0.484255595881808,0.484255595881808,0.00258589827093737,0.00258589827093737
"UGA","Uganda",19.7883239607988,19.7883239607988,0,0,0,0,NA,NA,0.871009122550887,0.871009122550887,0.154393311916619,0.154393311916619,0.522664920639156,0.522664920639156,0,0
"LKA","Sri Lanka",15.605798042751,15.605798042751,0,0,0,0,NA,NA,0.832381515474161,0.832381515474161,0.089039153610276,0.089039153610276,0.326353446144037,0.326353446144037,0,0
"KHM","Cambodia",44.9598357757607,44.9598357757607,0,0,0,0,NA,NA,0.793429958441646,0.793429958441646,0.155750223927306,0.155750223927306,0.617120965480349,0.617120965480349,0.00672432503378012,0.00672432503378012
"PHL","Philippines",70.3082770687317,70.3082770687317,0,0,0,0,0,0,0.790227533417011,0.790227533417011,0.282657851334371,0.282657851334371,0.654447466466008,0.654447466466008,0.00567164940639529,0.00567164940639529
"THA","Thailand",45.2468113869388,45.2468113869388,0.00163374286131614,0.00163374286131614,0.0782609186678743,0.0782609186678743,0.000223509900581045,0.000223509900581045,0.462030163100789,0.462030163100789,0.168216685806469,0.168216685806469,0.178741551775299,0.178741551775299,0.0180259735327251,0.0180259735327251
"VNM","Vietnam",42.3582260059923,42.3582260059923,0,0,0.0049784292539149,0.0049784292539149,NA,NA,0.60315864811341,0.60315864811341,0.129091506334109,0.129091506334109,0.494712104563238,0.494712104563238,0.00298222010035441,0.00298222010035441
"SOM","Somalia",101.348293573085,101.348293573085,0,0,0,0,NA,NA,0.904705459675717,0.904705459675717,0.0744974289751949,0.0744974289751949,0.15895313129415,0.15895313129415,0,0
"ETH","Ethiopia",70.4282825203878,70.4282825203878,0,0,0.154409759280099,0.154409759280099,0.168659980206773,0.168659980206773,0.39225025983101,0.39225025983101,0.0871725618621012,0.0871725618621012,0.570787176194891,0.570787176194891,0,0
"DJI","Djibouti",93.3050676520697,93.3050676520697,0,0,0,0,NA,NA,0.822964701788348,0.822964701788348,0.148821037132455,0.148821037132455,0.677957155785806,0.677957155785806,0,0
"YEM","Yemen",49.7143292474293,49.7143292474293,0,0,0,0,NA,NA,0.360372804258738,0.360372804258738,0.0326940743183308,0.0326940743183308,0.61344300611669,0.61344300611669,0,0
"OMN","Oman",41.3944899138741,41.3944899138741,0,0,0,0,0,0,0.326048182617307,0.326048182617307,0.0973076990977956,0.0973076990977956,0.367933946129872,0.367933946129872,0,0
"SAU","Saudi Arabia",62.7037488548626,62.7037488548626,0,0,1.5346428887549e-05,1.5346428887549e-05,NA,NA,0.257464954108708,0.257464954108708,0.0629678607827704,0.0629678607827704,0.139486777438699,0.139486777438699,0,0
"ARE","United Arab Emirates",74.3769209896411,74.3769209896411,0.0128283484379159,0.0128283484379159,0.0714782710106247,0.0714782710106247,0.267462732350318,0.267462732350318,0.212272292575291,0.212272292575291,0.45829803077552,0.45829803077552,0.31783007359073,0.31783007359073,0.0242345950118012,0.0242345950118012
"QAT","Qatar",56.5593791642689,56.5593791642689,0.00342374851996328,0.00342374851996328,0.0990506867471675,0.0990506867471675,NA,NA,0.304758442002156,0.304758442002156,0.224860454096923,0.224860454096923,0.278410796049506,0.278410796049506,0.0488398055591467,0.0488398055591467
"COG","Congo - Brazzaville",99.5926788462061,99.5926788462061,0,0,0,0,0,0,0.827651571644907,0.827651571644907,0.0854994389144822,0.0854994389144822,0.636550407276101,0.636550407276101,0,0
"CAF","Central African Republic",26.5204923012637,26.5204923012637,0,0,0,0,NA,NA,0.994844507404945,0.994844507404945,0.037987910099984,0.037987910099984,0.39509576176012,0.39509576176012,0,0
"SSD","South Sudan",30.5646711438897,30.5646711438897,0,0,0,0,NA,NA,1,1,0.810355226986928,0.810355226986928,0,0,0,0
"TCD","Chad",51.387218378278,51.387218378278,0,0,0,0,NA,NA,0.704162272877721,0.704162272877721,0.0287750239599252,0.0287750239599252,0.431353370486791,0.431353370486791,0,0
"SDN","Sudan",118.941592109825,118.941592109825,0,0,0,0,NA,NA,0.832884835722006,0.832884835722006,0.0159143277735487,0.0159143277735487,0.285943575216315,0.285943575216315,0,0
"LBY","Libya",55.3061475203312,55.3061475203312,0,0,0,0,NA,NA,0.383573117704513,0.383573117704513,0.0687757829597627,0.0687757829597627,0.573818382006178,0.573818382006178,0,0
"EGY","Egypt",73.0669603814193,73.0669603814193,0,0,0.0834463979203105,0.0834463979203105,0.428988177122067,0.428988177122067,0.396779708048537,0.396779708048537,0.167727958847535,0.167727958847535,0.200962599999932,0.200962599999932,0,0
"GRC","Greece",125.45883944467,125.45883944467,0,0,0.223624247779324,0.223624247779324,0.604140550686122,0.604140550686122,0.673542814718788,0.673542814718788,0.603956600338045,0.603956600338045,0.918138155542191,0.918138155542191,0.0623920954494636,0.0623920954494636
"MMR","Myanmar (Burma)",66.2207849725994,66.2207849725994,0,0,0,0,NA,NA,0.838309220795488,0.838309220795488,0.0800125374472866,0.0800125374472866,0.646731481750369,0.646731481750369,0,0
"IND","India",55.2064068497534,55.2064068497534,0.00043006684263473,0.00043006684263473,0.0396956244490506,0.0396956244490506,0.0853464634739458,0.0853464634739458,0.672297199084046,0.672297199084046,0.11942353748373,0.11942353748373,0.34954449059777,0.34954449059777,0.00274606469009181,0.00274606469009181
"TWN","Taiwan",53.7374495459298,53.7374495459298,0.0490120103084528,0.0490120103084528,0.213448116536868,0.213448116536868,0.110774722559344,0.110774722559344,0.635198334055033,0.635198334055033,0.477133182612202,0.477133182612202,0.679085382120415,0.679085382120415,0.127620331450993,0.127620331450993
"BGD","Bangladesh",18.7289149137701,18.7289149137701,0,0,0.0166982251668793,0.0166982251668793,NA,NA,0.730163482414864,0.730163482414864,0.111215374278693,0.111215374278693,0.314114628114169,0.314114628114169,0,0
"NPL","Nepal",34.0781986403301,34.0781986403301,0,0,0,0,NA,NA,0.916961450755541,0.916961450755541,0.440378838092019,0.440378838092019,0.772019440562469,0.772019440562469,0,0
"BHR","Bahrain",96.1958018068846,96.1958018068846,0,0,0,0,NA,NA,0.28019277473179,0.28019277473179,0.310707704029622,0.310707704029622,0.592087649107913,0.592087649107913,0,0
"KWT","Kuwait",76.9257728333691,76.9257728333691,0,0,0,0,NA,NA,0.100765589830912,0.100765589830912,0.393040772807709,0.393040772807709,0.306409558281192,0.306409558281192,0,0
"PAK","Pakistan",74.5649942060945,74.5649942060945,0,0,0.0119274974701703,0.0119274974701703,NA,NA,0.49437464538509,0.49437464538509,0.10555031644168,0.10555031644168,0.372472214502573,0.372472214502573,9.44015005144053e-07,9.44015005144053e-07
"JOR","Jordan",50.7884438448396,50.7884438448396,0,0,0,0,0,0,0.295675109202351,0.295675109202351,0.0834355972440277,0.0834355972440277,0.322501269787633,0.322501269787633,0,0
"ISR","Israel",65.992870125193,65.992870125193,0,0,0.154852792104284,0.154852792104284,0.848424500171644,0.848424500171644,0.567940400405785,0.567940400405785,0.81347546484612,0.81347546484612,0.729354943570465,0.729354943570465,0.29981373084462,0.29981373084462
"IRN","Iran",59.940352113144,59.940352113144,0.00901709197316069,0.00901709197316069,0.100393401260297,0.100393401260297,NA,NA,0.180312339823779,0.180312339823779,0.355265597642874,0.355265597642874,0.57215382742621,0.57215382742621,0.0142057471634491,0.0142057471634491
"IRQ","Iraq",81.2501226526709,81.2501226526709,0,0,0,0,NA,NA,0.330542142962225,0.330542142962225,0.104725496802948,0.104725496802948,0.671190010433588,0.671190010433588,0,0
"JPN","Japan",102.177931253801,102.177931253801,0.00560390589991532,0.00560390589991532,0.150669203971354,0.150669203971354,0.00305757328058087,0.00305757328058087,0.741829318075139,0.741829318075139,0.529259704659346,0.529259704659346,0.814436691380303,0.814436691380303,0.0379253307534549,0.0379253307534549
"CHN","China",15.1330232044586,15.1330232044586,0.0172682058538576,0.0172682058538576,0.17931766676874,0.17931766676874,0.0338605311092035,0.0338605311092035,0.351750472085109,0.351750472085109,0.170497878091156,0.170497878091156,0.200721450245853,0.200721450245853,0.0392417498896522,0.0392417498896522
"KOR","South Korea",56.0042329946832,56.0042329946832,0.0641347947309758,0.0641347947309758,0.392664259138325,0.392664259138325,NA,NA,0.574727691288477,0.574727691288477,0.472868626819418,0.472868626819418,0.719457989394467,0.719457989394467,0.139340156375463,0.139340156375463
"PRK","North Korea",24.9539765863382,24.9539765863382,0,0,0.0982414088693061,0.0982414088693061,NA,NA,0.777115659199249,0.777115659199249,0.261610207840572,0.261610207840572,0.140269700151172,0.140269700151172,0.000575784159094676,0.000575784159094676
"LBN","Lebanon",59.2582862821897,59.2582862821897,0,0,0,0,NA,NA,0.298329367420304,0.298329367420304,0.183507966770125,0.183507966770125,0.722130733657453,0.722130733657453,0,0
